k,Energy (eV)
0.10455,-4.305555
0.13069,-4.312358
0.15683,-4.321883
0.18297,-4.331407
0.20911,-4.343651
0.23525,-4.354536
0.26138,-4.368142
0.28752,-4.380387
0.31366,-4.391272
0.3398,-4.402156
0.36594,-4.41168
0.39207,-4.419844
0.41821,-4.425286
0.44435,-4.430728
0.47049,-4.434811
0.49663,-4.436171
0.52277,-4.437531
0.5489,-4.437531
0.57504,-4.437531
0.60118,-4.436171
0.62732,-4.434811
0.65346,-4.43345
0.67959,-4.432089
0.70573,-4.432089
0.73187,-4.430728
0.75801,-4.430728
0.78415,-4.429368
0.81029,-4.429368
0.83642,-4.429368
0.86256,-4.429368
0.8887,-4.429368
,
,
0.0,-4.29331
0.02614,-4.29331
0.05228,-4.296031
0.07842,-4.300113
0.10455,-4.305555
0.13069,-4.312358
0.15683,-4.321883
0.18297,-4.331407
0.20911,-4.343651
0.23525,-4.354536
0.26138,-4.368142
0.28752,-4.380387
0.31366,-4.391272
0.3398,-4.402156
0.36594,-4.403517
0.39207,-4.396714
0.41821,-4.403517
0.44435,-4.404878
0.47049,-4.403517
0.49663,-4.396714
0.52277,-4.38719
0.5489,-4.374945
0.57504,-4.3627
0.60118,-4.349094
0.62732,-4.336849
0.65346,-4.34093
0.67959,-4.343651
0.70573,-4.346373
0.73187,-4.347733
0.75801,-4.349094
0.78415,-4.349094
0.81029,-4.349094
0.83642,-4.349094
0.86256,-4.349094
0.8887,-4.349094
,
,
0.0,-4.184464
0.02614,-4.184464
0.05228,-4.185824
0.07842,-4.185824
0.10455,-4.185824
0.13069,-4.19943
0.15683,-4.225281
0.18297,-4.249771
0.20911,-4.272902
0.23525,-4.296031
0.26138,-4.3178
0.28752,-4.336849
0.31366,-4.355897
0.3398,-4.372223
0.36594,-4.38583
0.39207,-4.368142
0.41821,-4.330046
0.44435,-4.290589
0.47049,-4.298752
0.49663,-4.306916
0.52277,-4.313718
0.5489,-4.320522
0.57504,-4.327324
0.60118,-4.332767
0.62732,-4.336849
0.65346,-4.34093
0.67959,-4.343651
0.70573,-4.346373
0.73187,-4.347733
0.75801,-4.349094
0.78415,-4.349094
0.81029,-4.349094
0.83642,-4.349094
0.86256,-4.349094
0.8887,-4.349094
,
,
0.0,-4.10555
0.02614,-4.112352
0.05228,-4.12868
0.07842,-4.150449
0.10455,-4.17494
0.13069,-4.185824
0.15683,-4.187185
0.18297,-4.187185
0.20911,-4.189906
0.23525,-4.204873
0.26138,-4.218478
0.28752,-4.230723
0.31366,-4.241608
0.3398,-4.252493
0.36594,-4.263378
0.39207,-4.272902
0.41821,-4.282426
0.44435,-4.290589
0.47049,-4.298752
0.49663,-4.306916
0.52277,-4.313718
0.5489,-4.320522
0.57504,-4.327324
0.60118,-4.332767
0.62732,-4.334127
0.65346,-4.321883
0.67959,-4.309637
0.70573,-4.298752
0.73187,-4.287868
0.75801,-4.279704
0.78415,-4.272902
0.81029,-4.267459
0.83642,-4.263378
0.86256,-4.260656
0.8887,-4.259295
,
,
0.0,-4.101469
0.02614,-4.102829
0.05228,-4.109632
0.07842,-4.119156
0.10455,-4.131402
0.13069,-4.145007
0.15683,-4.159974
0.18297,-4.1763
0.20911,-4.189906
0.23525,-4.204873
0.26138,-4.218478
0.28752,-4.230723
0.31366,-4.241608
0.3398,-4.252493
0.36594,-4.263378
0.39207,-4.272902
0.41821,-4.282426
0.44435,-4.289228
0.47049,-4.24705
0.49663,-4.218478
0.52277,-4.210314
0.5489,-4.208954
0.57504,-4.208954
0.60118,-4.208954
0.62732,-4.208954
0.65346,-4.210314
0.67959,-4.210314
0.70573,-4.211675
0.73187,-4.211675
0.75801,-4.211675
0.78415,-4.213036
0.81029,-4.213036
